state,region,adults_18plus
Alabama,south,4011179
Alaska,west,543597
Arizona,west,5976929
Arkansas,south,2382792
California,west,30879264
Colorado,west,4709808
Connecticut,northeast,2942274
Delaware,south,834822
District of Columbia,south,569285
Florida,south,18811172
Georgia,south,8584994
Hawaii,west,1112839
Idaho,west,1529750
Illinois,midwest,9996508
Indiana,midwest,5337165
Iowa,midwest,2510682
Kansas,midwest,2257696
Kentucky,south,3546563
Louisiana,south,3516753
Maine,northeast,1157090
Maryland,south,4862370
Massachusetts,northeast,5777028
Michigan,midwest,8029234
Minnesota,midwest,4493489
Mississippi,south,2257754
Missouri,midwest,4858050
Montana,west,901240
Nebraska,midwest,1514862
Nevada,west,2567337
New Hampshire,northeast,1159146
New Jersey,northeast,7448380
New Mexico,west,1669012
New York,northeast,15865665
North Carolina,south,8589673
North Dakota,midwest,604202
Ohio,midwest,9302506
Oklahoma,south,3110306
Oregon,west,3444707
Pennsylvania,northeast,10446122
Rhode Island,northeast,903692
South Carolina,south,4289808
South Dakota,midwest,700776
Tennessee,south,5625000
Texas,south,23514112
Utah,west,2565560
Vermont,northeast,535384
Virginia,south,6827407
Washington,west,6255004
West Virginia,south,1421431
Wisconsin,midwest,4718810
Wyoming,west,457274
