profile_id,condition,control_filler,gender,age_band,race,education,income,party,age,year_birth,ideology,household_size,social_class,region,urbanicity,religion,religiosity,born_again,trust_science_prior
P00001,control,dances,Female,18-29,Hispanic / Latino,Less than high school,"$168,000 or more",Independent,25,2001,extremely liberal,5,middle class,northeast,central city of 12 largest smsas,none,,no,only some
P00002,control,dances,Male,18-29,White / Caucasian,Less than high school,"$30,000 to $55,999",Independent,26,2000,conservative,2,working class,south,,other,,no,
P00003,control,baseball,Male,30-44,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,38,1988,liberal,3,working class,west,central city of 12 largest smsas,none,,,
P00004,control,baseball,Male,60+,White / Caucasian,Less than high school,"Less than $30,000",Independent,77,1949,slightly liberal,1,middle class,northeast,,catholic,not very strong,yes,only some
P00005,control,baseball,Female,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,20,2006,liberal,4,middle class,west,suburbs of 12 largest smsas,none,,no,a great deal
P00006,control,neckties,Female,18-29,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Independent,24,2002,conservative,2,lower class,south,central city of the remainder of the 100 largest smsas,catholic,strong,yes,hardly any
P00007,control,baseball,Female,45-59,Asian / Asian American,Some college or Associate's degree,"$100,000 to $167,999",Independent,48,1978,conservative,2,upper class,south,central city of the remainder of the 100 largest smsas,hinduism,,yes,only some
P00008,control,baseball,Female,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,71,1955,liberal,2,middle class,midwest,suburbs of 12 largest smsas,none,no religion,no,a great deal
P00009,control,dances,Female,45-59,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican,55,1971,conservative,2,working class,northeast,suburbs of the remaining 100 largest smsas,catholic,not very strong,no,only some
P00010,control,baseball,Female,60+,Black / African American,Some college or Associate's degree,"Less than $30,000",Democrat,72,1954,liberal,2,middle class,south,central city of 12 largest smsas,protestant,strong,yes,
P00011,control,baseball,Female,60+,Hispanic / Latino,Less than high school,"Less than $30,000",Independent,61,1965,"moderate, middle of the road",5,working class,northeast,central city of 12 largest smsas,protestant,,yes,only some
P00012,control,baseball,Female,45-59,Asian / Asian American,Bachelor's degree,"$100,000 to $167,999",Independent,55,1971,"moderate, middle of the road",3,middle class,west,,hinduism,,no,a great deal
P00013,control,neckties,Male,60+,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Democrat,72,1954,"moderate, middle of the road",2,middle class,south,central city of the remainder of the 100 largest smsas,catholic,strong,yes,
P00014,control,dances,Female,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,27,1999,liberal,2,working class,west,,none,no religion,no,a great deal
P00015,control,neckties,Male,18-29,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Independent,19,2007,"moderate, middle of the road",3,working class,south,suburbs of 12 largest smsas,none,,no,a great deal
P00016,control,neckties,Female,60+,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent,68,1958,"moderate, middle of the road",2,middle class,south,suburbs of 12 largest smsas,protestant,not very strong,yes,
P00017,control,dances,Male,30-44,Asian / Asian American,Master's degree / Professional degree,"$168,000 or more",Democrat,39,1987,"moderate, middle of the road",3,middle class,midwest,suburbs of 12 largest smsas,buddhism,,,
P00018,control,neckties,Male,45-59,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Other,45,1981,"moderate, middle of the road",2,middle class,west,,protestant,strong,yes,
P00019,control,dances,Male,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican,80,1946,conservative,2,middle class,south,suburbs of the remaining 100 largest smsas,protestant,,,
P00020,control,baseball,Female,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,42,1984,slightly liberal,2,upper class,west,,none,,no,a great deal
P00021,control,neckties,Female,18-29,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat,21,2005,extremely liberal,3,upper class,west,suburbs of the remaining 100 largest smsas,none,,no,a great deal
P00022,control,baseball,Male,60+,White / Caucasian,Doctorate degree / Ph.D.,"$56,000 to $99,999",Republican,71,1955,conservative,3,middle class,midwest,"other rural (counties having no towns of 10,000 or more)",protestant,,,
P00023,control,neckties,Male,18-29,Other,Less than high school,"$30,000 to $55,999",Republican,23,2003,"moderate, middle of the road",2,middle class,west,"other urban (counties having towns of 10,000 or more)",other,,no,hardly any
P00024,control,dances,Female,18-29,Hispanic / Latino,Less than high school,"$168,000 or more",Independent,25,2001,extremely liberal,5,middle class,northeast,central city of 12 largest smsas,none,,no,only some
P00025,control,neckties,Female,18-29,White / Caucasian,Less than high school,"Less than $30,000",Independent,27,1999,"moderate, middle of the road",3,lower class,south,"other urban (counties having towns of 10,000 or more)",catholic,,,
P00026,control,neckties,Female,60+,Black / African American,High school diploma / GED,"$30,000 to $55,999",Democrat,76,1950,liberal,1,middle class,west,suburbs of 12 largest smsas,protestant,,,
P00027,control,dances,Male,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,69,1957,extremely liberal,2,middle class,northeast,"other urban (counties having towns of 10,000 or more)",protestant,not very strong,no,a great deal
P00028,control,baseball,Female,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,72,1954,liberal,2,upper class,south,central city of the remainder of the 100 largest smsas,protestant,,no,
P00029,control,neckties,Male,45-59,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,59,1967,"moderate, middle of the road",3,working class,west,central city of the remainder of the 100 largest smsas,protestant,strong,no,only some
